Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/03  22:00:00,1.60093642494766,5.10210004034163,0.000000000000000E+000,4.26471463862718,0.114189749237422,0.114189749237422,0.114189749237422,0.493178558008581,0.102181033581641,0.258342489697899,0.617696582143720,0.794836109199731 
 01/03  23:00:00,1.32082304823636,5.05880240367663,0.000000000000000E+000,4.36461759538517,0.116864698101983,0.116864698101983,0.116864698101983,0.371269276267653,7.692280920891813E-002,0.205881020852975,0.534537231526429,0.657363848484139 
 01/03  24:00:00,1.05286848453403,5.37284407929421,0.000000000000000E+000,4.83213538209455,0.129382707711546,0.129382707711546,0.129382707711546,0.254901287993707,5.281267817006874E-002,0.135920890493347,0.464502907886960,0.508711968266771 
 01/04  01:00:00,0.785954845405246,5.58684742760370,0.000000000000000E+000,5.20911400472548,0.139476488429299,0.139476488429299,0.139476488429299,0.132991937463835,2.755443954505400E-002,8.636931076758889E-002,0.384214656921069,0.351267254376784 
 01/04  02:00:00,0.675224178803580,5.54092405865103,0.000000000000000E+000,5.23706094449126,0.140224780944560,0.140224780944560,0.140224780944560,7.757865884929742E-002,1.607342069256627E-002,7.223881327716383E-002,0.353760492761593,0.279494744442672 
 01/04  03:00:00,0.636035145776565,5.67770728344894,0.000000000000000E+000,5.39368906837775,0.144418572957777,0.144418572957777,0.144418572957777,5.541331988790434E-002,1.148101600202945E-002,5.971530281942931E-002,0.349658921831025,0.259932377176892 
 01/04  04:00:00,0.628201958399131,5.83962483529677,0.000000000000000E+000,5.55028507684451,0.148611505065459,0.148611505065459,0.148611505065459,5.541331988790434E-002,1.148101600202945E-002,5.261106845099969E-002,0.344737036714339,0.265592958745322 
 01/04  05:00:00,0.627539448911388,5.96391999851101,0.000000000000000E+000,5.61823112180522,0.150430792519176,0.150430792519176,0.150430792519176,5.541331988790434E-002,1.148101600202945E-002,6.315175921409334E-002,0.331714549009782,0.322839115536275 
 01/04  06:00:00,0.679370931396707,6.23752795790976,0.000000000000000E+000,5.63875234561221,0.150980257981493,0.150980257981493,0.150980257981493,5.541331988790434E-002,1.148101600202945E-002,7.598154876300982E-002,0.370166776483870,0.573277115289217 
 01/04  07:00:00,0.870133427971299,6.42892739439438,0.000000000000000E+000,5.35859812769410,0.143478996442885,0.143478996442885,0.143478996442885,0.127450643996854,2.640633195888867E-002,0.129758134509170,0.427691308785101,1.04086826087710 
